"date","aud_price"
"2021-04-15","1.327377"
"2021-04-16","1.331390"
"2021-04-19","1.338563"
"2021-04-20","1.331286"
"2021-04-21","1.327577"
"2021-04-22","1.327188"
"2021-04-23","1.331320"
"2021-04-26","1.335903"
"2021-04-27","1.326796"
"2021-04-28","1.331303"
"2021-04-29","1.330115"
"2021-04-30","1.338975"
"2021-05-03","1.332377"
"2021-05-04","1.326938"
"2021-05-05","1.328883"
"2021-05-06","1.327239"
"2021-05-07","1.328035"
"2021-05-10","1.326937"
"2021-05-11","1.321336"
"2021-05-12","1.308796"
"2021-05-13","1.307140"
"2021-05-14","1.305556"
"2021-05-17","1.316358"
"2021-05-18","1.318346"
"2021-05-19","1.315160"
"2021-05-20","1.315671"
"2021-05-21","1.323670"
"2021-05-24","1.329496"
"2021-05-25","1.334314"
"2021-05-26","1.337878"
"2021-05-27","1.339442"
"2021-05-28","1.337716"
"2021-05-31","1.349456"
"2021-06-01","1.345428"
"2021-06-02","1.345345"
"2021-06-03","1.350009"
"2021-06-04","1.358171"
"2021-06-07","1.357227"
"2021-06-08","1.353722"
"2021-06-09","1.353913"
"2021-06-10","1.352866"
"2021-06-11","1.359247"
"2021-06-15","1.365885"
"2021-06-16","1.370103"
"2021-06-17","1.373941"
"2021-06-18","1.380286"
"2021-06-21","1.379262"
"2021-06-22","1.376689"
"2021-06-23","1.381787"
"2021-06-24","1.375460"
"2021-06-25","1.381427"
"2021-06-28","1.388120"
"2021-06-29","1.390088"
"2021-06-30","1.397172"
"2021-07-01","1.397431"
"2021-07-02","1.384657"
"2021-07-05","1.381752"
"2021-07-06","1.380536"
"2021-07-07","1.379332"
"2021-07-08","1.385035"
"2021-07-09","1.380162"
"2021-07-12","1.381100"
"2021-07-13","1.388021"
"2021-07-14","1.393622"
"2021-07-15","1.390001"
"2021-07-16","1.396163"
"2021-07-19","1.393594"
"2021-07-20","1.384207"
"2021-07-21","1.391874"
"2021-07-22","1.398091"
"2021-07-23","1.399632"
"2021-07-26","1.406768"
"2021-07-27","1.396299"
